db,questions,sql_query
acme-chatbot,What is the overall OTIF performance for this month?,"SELECT 
  ROUND(AVG(on_time_in_full_loss::bigint), 2) AS otif_score
FROM ""acme-chatbot"".otif
WHERE DATE_TRUNC('month', TO_DATE(reporting_date, 'YYYY-MM-DD')) = DATE_TRUNC('month', CURRENT_DATE);
        "
acme-chatbot,Which customers have the lowest OTIF performance this month?,"SELECT 
  cust_name,
  ROUND(AVG(on_time_in_full_loss::bigint), 2) AS otif_score
FROM ""acme-chatbot"".otif
WHERE DATE_TRUNC('month', TO_DATE(reporting_date, 'YYYY-MM-DD')) = DATE_TRUNC('month', CURRENT_DATE)
GROUP BY cust_name
ORDER BY otif_score ASC
LIMIT 10;"
acme-chatbot,Which materials (SKUs) had the highest order volume but failed OTIF?,"SELECT 
  material,
  material_desc,
  SUM(order_qty) AS total_order_qty,
  COUNT(*) FILTER (WHERE on_time = 0) AS otif_failures
FROM ""acme-chatbot"".otif
GROUP BY material, material_desc
ORDER BY otif_failures DESC
LIMIT 10;"
acme-chatbot,What is the daily OTIF trend for the last 7 days?,"SELECT 
  TO_DATE(reporting_date, 'YYYY-MM-DD') AS report_day,
  ROUND(AVG(on_time_in_full_loss::bigint), 2) AS daily_otif_score
FROM ""acme-chatbot"".otif
WHERE TO_DATE(reporting_date, 'YYYY-MM-DD') >= CURRENT_DATE - INTERVAL '7 days'
GROUP BY report_day
ORDER BY report_day;"
acme-chatbot,"How many orders were canceled this month, and why?","SELECT 
  reason_for_cancellation,
  COUNT(*) AS cancellation_count
FROM ""acme-chatbot"".otif
WHERE cancellation_dt IS NOT NULL
  AND DATE_TRUNC('month', TO_DATE(reporting_date, 'YYYY-MM-DD')) = DATE_TRUNC('month', CURRENT_DATE)
GROUP BY reason_for_cancellation
ORDER BY cancellation_count DESC;"
acme-chatbot,What is the fill rate distribution by region?,"SELECT 
  ship_to_region,
  ROUND(AVG(fill_rate::bigint), 2) AS avg_fill_rate
FROM ""acme-chatbot"".otif
GROUP BY ship_to_region
ORDER BY avg_fill_rate DESC;"
acme-chatbot,Which carriers are associated with low OTIF performance?,"SELECT 
  carrier,
  ROUND(AVG(on_time_in_full_loss::bigint), 2) AS avg_otif
FROM ""acme-chatbot"".otif
GROUP BY carrier
HAVING AVG(on_time_in_full_loss) < 0.9
ORDER BY avg_otif;"
acme-chatbot,What is the OTIF loss breakdown by 'otif_loss_f1' reason code?,"SELECT 
  otif_loss_f1,
  COUNT(*) AS occurrences,
  ROUND(AVG(on_time_in_full_loss::int), 2) AS avg_otif
FROM ""acme-chatbot"".otif
WHERE otif_loss_f1 IS NOT NULL
GROUP BY otif_loss_f1
ORDER BY occurrences DESC;"
acme-chatbot,Which material are consistently underperforming in OTIF?,"SELECT 
  material_desc,
  ROUND(AVG(on_time_in_full_loss::bigint), 2) AS avg_otif,
  COUNT(*) AS total_orders
FROM ""acme-chatbot"".otif
GROUP BY material_desc
ORDER BY avg_otif;"
acme-chatbot,What is the average DOH across all products?,"SELECT ROUND(AVG(doh::bigint), 2) AS avg_doh
FROM ""acme-chatbot"".doh;"
